                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2997,                  7.546,                 3.9896,                0.00013,                0.01214,                  7e-05,                  2e-05,                 5.3122,                 5.9059,                 4.0147,             0.00065741,             0.00065741,             0.00065741
                      1,                 5.2997,                  7.546,                 3.9896,                0.00013,                0.01214,                  7e-05,                  2e-05,                 5.3122,                 5.9059,                 4.0147,             0.00065741,             0.00065741,             0.00065741
                      1,                 5.2997,                  7.546,                 3.9896,                0.00013,                0.01214,                  7e-05,                  2e-05,                 5.3122,                 5.9059,                 4.0147,             0.00065741,             0.00065741,             0.00065741
                      1,                 5.2997,                  7.546,                 3.9896,                0.00013,                0.01214,                  7e-05,                  2e-05,                 5.3122,                 5.9059,                 4.0147,             0.00065741,             0.00065741,             0.00065741
                      1,                 5.2997,                  7.546,                 3.9896,                0.00013,                0.01214,                  7e-05,                  2e-05,                 5.3122,                 5.9059,                 4.0147,             0.00065741,             0.00065741,             0.00065741
                      1,                 5.2997,                  7.546,                 3.9896,                0.00013,                0.01214,                  7e-05,                  2e-05,                 5.3122,                 5.9059,                 4.0147,             0.00065741,             0.00065741,             0.00065741
                      1,                 5.2997,                  7.546,                 3.9896,                0.00013,                0.01214,                  7e-05,                  2e-05,                 5.3122,                 5.9059,                 4.0147,             0.00065741,             0.00065741,             0.00065741
                      1,                 5.2997,                  7.546,                 3.9896,                0.00013,                0.01214,                  7e-05,                  2e-05,                 5.3122,                 5.9059,                 4.0147,             0.00065741,             0.00065741,             0.00065741
                      1,                 5.2997,                  7.546,                 3.9896,                0.00013,                0.01214,                  7e-05,                  2e-05,                 5.3122,                 5.9059,                 4.0147,             0.00065741,             0.00065741,             0.00065741
                      1,                 5.2997,                  7.546,                 3.9896,                0.00013,                0.01214,                  7e-05,                  2e-05,                 5.3122,                 5.9059,                 4.0147,             0.00065741,             0.00065741,             0.00065741
                      1,                 5.2997,                  7.546,                 3.9896,                0.00013,                0.01214,                  7e-05,                  2e-05,                 5.3122,                 5.9059,                 4.0147,             0.00065741,             0.00065741,             0.00065741
                      1,                 5.2997,                  7.546,                 3.9896,                0.00013,                0.01214,                  7e-05,                  2e-05,                 5.3122,                 5.9059,                 4.0147,             0.00065741,             0.00065741,             0.00065741
                      1,                 5.2997,                  7.546,                 3.9896,                0.00013,                0.01214,                  7e-05,                  2e-05,                 5.3122,                 5.9059,                 4.0147,             0.00065741,             0.00065741,             0.00065741
