epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,246.137,1.65985,1.74715,1.24293,0.74018,0.42141,0.4993,0.29662,1.56557,1.54064,1.2262,0.000540037,0.000540037,0.000540037
43,251.489,1.6473,1.74406,1.25468,0.57767,0.51006,0.54792,0.32414,1.53674,1.60644,1.2074,0.000531038,0.000531038,0.000531038
44,256.883,1.71605,1.75582,1.27478,0.81364,0.47966,0.57069,0.33235,1.49933,1.40232,1.17768,0.000522039,0.000522039,0.000522039
45,262.343,1.6863,1.74595,1.22635,0.68063,0.50387,0.5585,0.32487,1.53377,1.41301,1.18042,0.00051304,0.00051304,0.00051304
46,267.75,1.69476,1.74537,1.23129,0.55742,0.58638,0.57694,0.33969,1.46533,1.40017,1.15918,0.00050404,0.00050404,0.00050404
47,273.261,1.68221,1.7149,1.21418,0.51897,0.61135,0.56783,0.34724,1.4671,1.42847,1.17206,0.000495041,0.000495041,0.000495041
48,278.759,1.66336,1.70818,1.23121,0.52313,0.59452,0.59056,0.34883,1.50801,1.41801,1.19293,0.000486042,0.000486042,0.000486042
49,284.17,1.64807,1.64887,1.24153,0.69017,0.47393,0.58981,0.3501,1.45687,1.35129,1.16358,0.000477043,0.000477043,0.000477043
50,289.57,1.57876,1.56318,1.17051,0.64083,0.56574,0.58885,0.34011,1.49191,1.36187,1.16161,0.000468044,0.000468044,0.000468044
51,295.003,1.56987,1.54609,1.19384,0.61488,0.66115,0.62474,0.37155,1.43103,1.35275,1.16268,0.000459045,0.000459045,0.000459045
52,300.429,1.5745,1.60381,1.22083,0.5953,0.63555,0.63188,0.38422,1.39928,1.23437,1.13709,0.000450046,0.000450046,0.000450046
53,305.767,1.62193,1.5688,1.2017,0.62274,0.58777,0.63956,0.3744,1.38826,1.20499,1.12794,0.000441047,0.000441047,0.000441047
54,311.092,1.57635,1.50261,1.19636,0.60775,0.56453,0.59385,0.32145,1.40902,1.28963,1.13372,0.000432048,0.000432048,0.000432048
55,316.463,1.54426,1.48198,1.18469,0.68897,0.56641,0.62298,0.37386,1.34958,1.24943,1.10518,0.000423049,0.000423049,0.000423049
56,321.891,1.51422,1.46538,1.18331,0.66648,0.61681,0.64958,0.39674,1.37684,1.17782,1.11345,0.000414049,0.000414049,0.000414049
57,327.31,1.50439,1.44394,1.1739,0.63869,0.65448,0.67237,0.41533,1.34206,1.14653,1.10137,0.00040505,0.00040505,0.00040505
58,332.727,1.52672,1.43509,1.16399,0.76733,0.5976,0.66094,0.41736,1.34177,1.16819,1.10285,0.000396051,0.000396051,0.000396051
59,338.141,1.55813,1.42619,1.15039,0.71327,0.61233,0.66748,0.41622,1.34044,1.15041,1.0972,0.000387052,0.000387052,0.000387052
60,343.66,1.53308,1.44318,1.13129,0.72929,0.58469,0.67679,0.43037,1.30619,1.1337,1.08483,0.000378053,0.000378053,0.000378053
61,349.124,1.48269,1.44075,1.14322,0.82908,0.55757,0.67531,0.4337,1.31312,1.13005,1.09554,0.000369054,0.000369054,0.000369054
62,354.552,1.47116,1.38806,1.15823,0.68534,0.67954,0.68824,0.4193,1.30333,1.10314,1.08481,0.000360055,0.000360055,0.000360055
63,359.782,1.45867,1.38285,1.13392,0.70295,0.68278,0.69552,0.42878,1.26845,1.06972,1.06728,0.000351056,0.000351056,0.000351056
64,365.012,1.48236,1.32567,1.13041,0.70996,0.67467,0.69633,0.44273,1.26892,1.11132,1.06384,0.000342057,0.000342057,0.000342057
65,370.329,1.49209,1.39419,1.14434,0.68498,0.70356,0.73025,0.45657,1.26526,1.04573,1.0588,0.000333058,0.000333058,0.000333058
66,375.666,1.45489,1.33116,1.12304,0.72649,0.68745,0.74936,0.48056,1.24686,0.99392,1.05262,0.000324058,0.000324058,0.000324058
67,380.981,1.40719,1.31395,1.10664,0.8329,0.64585,0.74087,0.46021,1.223,1.03919,1.04704,0.000315059,0.000315059,0.000315059
68,386.231,1.43042,1.30721,1.14244,0.7337,0.68412,0.7491,0.46492,1.20919,0.98876,1.03646,0.00030606,0.00030606,0.00030606
69,391.556,1.40132,1.29767,1.11045,0.64327,0.73003,0.73531,0.47226,1.20675,0.98673,1.03344,0.000297061,0.000297061,0.000297061
70,396.771,1.44234,1.28316,1.11333,0.76077,0.70894,0.75803,0.47476,1.20055,0.97749,1.03105,0.000288062,0.000288062,0.000288062
71,402.042,1.41582,1.24919,1.1115,0.70048,0.753,0.76052,0.48668,1.17307,0.98924,1.02232,0.000279063,0.000279063,0.000279063
