                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2244,                 7.1448,                 4.0004,                 0.0001,                0.00888,                  5e-05,                  2e-05,                  5.365,                  6.231,                 4.0631,             0.00065741,             0.00065741,             0.00065741
                      1,                 5.2244,                 7.1448,                 4.0004,                 0.0001,                0.00888,                  5e-05,                  2e-05,                  5.365,                  6.231,                 4.0631,             0.00065741,             0.00065741,             0.00065741
                      1,                 5.2244,                 7.1448,                 4.0004,                 0.0001,                0.00888,                  5e-05,                  2e-05,                  5.365,                  6.231,                 4.0631,             0.00065741,             0.00065741,             0.00065741
                      1,                 5.2244,                 7.1448,                 4.0004,                 0.0001,                0.00888,                  5e-05,                  2e-05,                  5.365,                  6.231,                 4.0631,             0.00065741,             0.00065741,             0.00065741
                      1,                 5.2244,                 7.1448,                 4.0004,                 0.0001,                0.00888,                  5e-05,                  2e-05,                  5.365,                  6.231,                 4.0631,             0.00065741,             0.00065741,             0.00065741
                      1,                 5.2244,                 7.1448,                 4.0004,                 0.0001,                0.00888,                  5e-05,                  2e-05,                  5.365,                  6.231,                 4.0631,             0.00065741,             0.00065741,             0.00065741
                      1,                 5.2244,                 7.1448,                 4.0004,                 0.0001,                0.00888,                  5e-05,                  2e-05,                  5.365,                  6.231,                 4.0631,             0.00065741,             0.00065741,             0.00065741
                      1,                 5.2244,                 7.1448,                 4.0004,                 0.0001,                0.00888,                  5e-05,                  2e-05,                  5.365,                  6.231,                 4.0631,             0.00065741,             0.00065741,             0.00065741
                      1,                 5.2244,                 7.1448,                 4.0004,                 0.0001,                0.00888,                  5e-05,                  2e-05,                  5.365,                  6.231,                 4.0631,             0.00065741,             0.00065741,             0.00065741
                      1,                 5.2244,                 7.1448,                 4.0004,                 0.0001,                0.00888,                  5e-05,                  2e-05,                  5.365,                  6.231,                 4.0631,             0.00065741,             0.00065741,             0.00065741
                      1,                 5.2244,                 7.1448,                 4.0004,                 0.0001,                0.00888,                  5e-05,                  2e-05,                  5.365,                  6.231,                 4.0631,             0.00065741,             0.00065741,             0.00065741
                      1,                 5.2244,                 7.1448,                 4.0004,                 0.0001,                0.00888,                  5e-05,                  2e-05,                  5.365,                  6.231,                 4.0631,             0.00065741,             0.00065741,             0.00065741
                      1,                 5.2244,                 7.1448,                 4.0004,                 0.0001,                0.00888,                  5e-05,                  2e-05,                  5.365,                  6.231,                 4.0631,             0.00065741,             0.00065741,             0.00065741
